Time,HOT WATER LOOP:SPACE1-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE2-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE3-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE4-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE5-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:OA HEATING COIL 1:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:MAIN HEATING COIL 1:Design Water Volume Flow Rate [m3/s]
19:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
19:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
20:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
20:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
20:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
20:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
21:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
21:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
21:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
21:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
22:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
22:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
22:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
22:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
23:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
23:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
23:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
23:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05
24:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.596304E-05

Time,CHILLED WATER LOOP:OA COOLING COIL 1:Design Water Volume Flow Rate [m3/s],CHILLED WATER LOOP:MAIN COOLING COIL 1:Design Water Volume Flow Rate [m3/s]
00:15:00,4.585977E-04,2.540403E-04
00:30:00,4.585977E-04,2.540403E-04
00:45:00,4.585977E-04,2.540403E-04
01:00:00,4.585977E-04,2.540403E-04
01:15:00,4.585977E-04,2.540403E-04
01:30:00,4.585977E-04,2.540403E-04
01:45:00,4.585977E-04,2.540403E-04
02:00:00,4.585977E-04,2.540403E-04
02:15:00,4.585977E-04,2.540403E-04
02:30:00,4.585977E-04,2.540403E-04
02:45:00,4.585977E-04,2.540403E-04
03:00:00,4.585977E-04,2.540403E-04
03:15:00,4.585977E-04,2.540403E-04
03:30:00,4.585977E-04,2.540403E-04
03:45:00,4.585977E-04,2.540403E-04
04:00:00,4.585977E-04,2.540403E-04
04:15:00,4.585977E-04,2.540403E-04
04:30:00,4.585977E-04,2.540403E-04
04:45:00,4.585977E-04,2.540403E-04
05:00:00,4.585977E-04,2.540403E-04
05:15:00,4.585977E-04,2.540403E-04
05:30:00,4.585977E-04,2.540403E-04
05:45:00,4.585977E-04,2.540403E-04
06:00:00,4.585977E-04,2.540403E-04
06:15:00,4.585977E-04,2.540403E-04
06:30:00,4.585977E-04,2.540403E-04
06:45:00,4.585977E-04,2.540403E-04
07:00:00,4.585977E-04,2.540403E-04
07:15:00,4.585977E-04,2.540403E-04
07:30:00,4.585977E-04,2.540403E-04
07:45:00,4.585977E-04,2.540403E-04
08:00:00,4.638126E-04,2.569291E-04
08:15:00,5.730271E-04,3.174284E-04
08:30:00,6.877768E-04,3.809941E-04
08:45:00,7.993452E-04,4.427974E-04
09:00:00,9.073683E-04,5.026368E-04
09:15:00,9.758639E-04,5.405799E-04
09:30:00,1.097838E-03,6.081475E-04
09:45:00,1.201988E-03,6.658416E-04
10:00:00,1.311697E-03,7.266149E-04
10:15:00,1.334680E-03,7.393462E-04
10:30:00,1.344866E-03,7.449886E-04
10:45:00,1.348483E-03,7.469922E-04
11:00:00,1.345672E-03,7.454353E-04
11:15:00,1.317262E-03,7.296975E-04
11:30:00,1.284665E-03,7.116404E-04
11:45:00,1.249595E-03,6.922136E-04
12:00:00,1.215358E-03,6.732476E-04
12:15:00,1.162000E-03,6.436900E-04
12:30:00,1.110658E-03,6.152493E-04
12:45:00,1.063243E-03,5.889837E-04
13:00:00,1.018915E-03,5.644281E-04
13:15:00,1.057674E-03,5.858988E-04
13:30:00,1.098997E-03,6.087894E-04
13:45:00,1.143450E-03,6.334144E-04
14:00:00,1.190405E-03,6.594253E-04
14:15:00,1.207634E-03,6.689690E-04
14:30:00,1.228636E-03,6.806029E-04
14:45:00,1.250533E-03,6.927328E-04
15:00:00,1.272253E-03,7.047647E-04
15:15:00,1.272307E-03,7.047949E-04
15:30:00,1.269748E-03,7.033771E-04
15:45:00,1.264359E-03,7.003919E-04
16:00:00,1.255800E-03,6.956507E-04
16:15:00,1.230783E-03,6.817922E-04
16:30:00,1.201347E-03,6.654866E-04
16:45:00,1.167458E-03,6.467134E-04
17:00:00,1.128806E-03,6.253025E-04
17:15:00,1.111589E-03,6.157647E-04
17:30:00,1.089748E-03,6.036660E-04
17:45:00,1.061715E-03,5.881370E-04
18:00:00,1.028188E-03,5.695650E-04
18:15:00,9.102137E-04,5.042130E-04
18:30:00,7.856347E-04,4.352025E-04
18:45:00,6.607157E-04,3.660036E-04
19:00:00,5.636953E-04,3.122591E-04
19:15:00,4.958985E-04,2.747030E-04
19:30:00,4.599854E-04,2.548090E-04
19:45:00,4.585977E-04,2.540403E-04
20:00:00,4.585977E-04,2.540403E-04
20:15:00,4.585977E-04,2.540403E-04
20:30:00,4.585977E-04,2.540403E-04
20:45:00,4.585977E-04,2.540403E-04
21:00:00,4.585977E-04,2.540403E-04
21:15:00,4.585977E-04,2.540403E-04
21:30:00,4.585977E-04,2.540403E-04
21:45:00,4.585977E-04,2.540403E-04
22:00:00,4.585977E-04,2.540403E-04
22:15:00,4.585977E-04,2.540403E-04
22:30:00,4.585977E-04,2.540403E-04
22:45:00,4.585977E-04,2.540403E-04
23:00:00,4.585977E-04,2.540403E-04
23:15:00,4.585977E-04,2.540403E-04
23:30:00,4.585977E-04,2.540403E-04
23:45:00,4.585977E-04,2.540403E-04
24:00:00,4.585977E-04,2.540403E-04

