Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),NaturalGas:Plant [J](Hourly),TOTAL BUILDING INSIDE FACE SOLAR RADIATION HEAT GAIN ENERGY [J](Hourly),TOTAL BUILDING INSIDE FACE NET SURFACE THERMAL RADIATION HEAT GAIN ENERGY [J](Hourly) 
 01/06  24:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.71482053399086e-9 
 01/07  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,2.270098775625229e-9 
 01/07  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.1059455573558807e-9 
 01/07  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.6880221664905548e-9 
 01/07  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.6775524020195007e-9 
 01/07  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-8.731149137020111e-10 
 01/07  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.4924596548080444e-10 
 01/07  07:00:00,15118796.893994259,1710000.0,1136544.5956399357,12272252.298354324,10695657.544240756,0.0,1350000.0,26897379.608446244,26897379.608446244,50344.02412267684,1.3969838619232178e-9 
 01/07  08:00:00,14726333.86288713,1710000.0,1136544.5956399357,11879789.267247196,10451845.190631831,0.0,1350000.0,21816056.572752662,21816056.572752662,2165627.3863495286,-7.566995918750763e-10 
 01/07  09:00:00,40585753.29653009,27388440.0,1136785.9839203514,12060527.312609738,10700840.387381556,0.0,20188440.0,5656919.106464143,5656919.106464143,10147918.246227816,-2.6775524020195007e-9 
 01/07  10:00:00,47445712.14453022,32718600.0,1398105.3898638827,13329006.754666343,11954274.753787942,0.0,16518600.0,232049.9371350401,232049.9371350401,14877800.573219085,-3.4924596548080444e-9 
 01/07  11:00:00,44566258.68171299,27716400.0,1717972.1378217258,15131886.54389127,13743152.125156801,0.0,11516400.0,0.0,0.0,21621132.52263566,-6.28642737865448e-9 
 01/07  12:00:00,43597991.159637906,26295840.0,1764752.7975494445,15537398.362088462,14116469.627241509,0.0,10095840.0,0.0,0.0,22510471.797267944,-2.0954757928848267e-9 
 01/07  13:00:00,40918763.58718057,24701760.0,1517030.0200248219,14699973.567155749,13268632.01151938,0.0,8501760.0,0.0,0.0,20885197.2500039,-2.0954757928848267e-9 
